

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 5; fitness: 56.31413905293164; player life: 0; enemy life: 30.0; time: 801

RUN: run status: enemy: 5; fitness: 74.13410892511656; player life: 0; enemy life: 10.0; time: 959

RUN: run status: enemy: 5; fitness: 56.17562632995691; player life: 0; enemy life: 30.0; time: 920

RUN: run status: enemy: 5; fitness: 83.63142754043466; player life: 5.200000000000234; enemy life: 0; time: 981

RUN: run status: enemy: 5; fitness: 88.2013998803083; player life: 44.200000000000294; enemy life: 0; time: 502

RUN: run status: enemy: 5; fitness: 74.14143496520863; player life: 0; enemy life: 10.0; time: 952

RUN: run status: enemy: 5; fitness: 84.68795896516693; player life: 13.00000000000023; enemy life: 0; time: 744

RUN: run status: enemy: 5; fitness: 47.67224472101789; player life: 5.800000000000233; enemy life: 40.0; time: 1000

RUN: run status: enemy: 5; fitness: 20.354909030494355; player life: 0; enemy life: 70.0; time: 769

RUN: run status: enemy: 5; fitness: 65.19206505630008; player life: 0; enemy life: 20.0; time: 905

RUN: run status: enemy: 5; fitness: 85.52795896516693; player life: 21.40000000000024; enemy life: 0; time: 744

RUN: run status: enemy: 5; fitness: 83.245645497745; player life: 1.000000000000234; enemy life: 0; time: 948

RUN: run status: enemy: 5; fitness: 47.289476890547576; player life: 0; enemy life: 40.0; time: 821

RUN: run status: enemy: 5; fitness: 83.5816735317087; player life: 4.600000000000234; enemy life: 0; time: 971

RUN: run status: enemy: 5; fitness: 47.14881507250626; player life: 0; enemy life: 40.0; time: 945

RUN: run status: enemy: 5; fitness: 74.1648154138527; player life: 0; enemy life: 10.0; time: 930

RUN: run status: enemy: 5; fitness: 65.18875562139871; player life: 0; enemy life: 20.0; time: 908

RUN: run status: enemy: 5; fitness: 74.14564549774498; player life: 0; enemy life: 10.0; time: 948

RUN: run status: enemy: 5; fitness: 74.25124045250833; player life: 0; enemy life: 10.0; time: 853

RUN: run status: enemy: 5; fitness: 65.25241347317069; player life: 0; enemy life: 20.0; time: 852

RUN: run status: enemy: 5; fitness: 56.375934772200104; player life: 0; enemy life: 30.0; time: 753

RUN: run status: enemy: 5; fitness: 83.71164528605325; player life: 4.0000000000002345; enemy life: 0; time: 803

RUN: run status: enemy: 5; fitness: 29.366681566719624; player life: 0; enemy life: 60.0; time: 760

RUN: run status: enemy: 5; fitness: 56.14670090681392; player life: 0; enemy life: 30.0; time: 947

RUN: run status: enemy: 5; fitness: 74.49224472101788; player life: 4.0000000000002345; enemy life: 10.0; time: 1000

RUN: run status: enemy: 5; fitness: 84.7795853089166; player life: 15.400000000000228; enemy life: 0; time: 863

RUN: run status: enemy: 5; fitness: 38.375934772200104; player life: 0; enemy life: 50.0; time: 753

RUN: run status: enemy: 5; fitness: 38.24889853106324; player life: 0; enemy life: 50.0; time: 855

RUN: run status: enemy: 5; fitness: 74.15518452079174; player life: 0; enemy life: 10.0; time: 939

RUN: run status: enemy: 5; fitness: 56.10128546567001; player life: 0; enemy life: 30.0; time: 991

RUN: run status: enemy: 5; fitness: 65.11040869164553; player life: 0; enemy life: 20.0; time: 982

RUN: run status: enemy: 5; fitness: 74.09524923003816; player life: 0; enemy life: 10.0; time: 997

RUN: run status: enemy: 5; fitness: 87.32624616014833; player life: 38.20000000000028; enemy life: 0; time: 661

RUN: run status: enemy: 5; fitness: 85.44543794147893; player life: 21.40000000000024; enemy life: 0; time: 808

RUN: run status: enemy: 5; fitness: 47.14143496520863; player life: 0; enemy life: 40.0; time: 952

RUN: run status: enemy: 5; fitness: 47.43224472101789; player life: 3.4000000000002344; enemy life: 40.0; time: 1000

RUN: run status: enemy: 5; fitness: 47.24306761075245; player life: 0; enemy life: 40.0; time: 860

RUN: run status: enemy: 5; fitness: 74.19427744658302; player life: 0; enemy life: 10.0; time: 903

RUN: run status: enemy: 5; fitness: 87.91385052684493; player life: 42.40000000000029; enemy life: 0; time: 559

RUN: run status: enemy: 5; fitness: 38.36668156671962; player life: 0; enemy life: 50.0; time: 760

RUN: run status: enemy: 5; fitness: 84.5294768905476; player life: 12.40000000000023; enemy life: 0; time: 821

RUN: run status: enemy: 5; fitness: 85.48765370549913; player life: 19.600000000000236; enemy life: 0; time: 647

RUN: run status: enemy: 5; fitness: 38.24306761075245; player life: 0; enemy life: 50.0; time: 860

RUN: run status: enemy: 5; fitness: 74.1626671853144; player life: 0; enemy life: 10.0; time: 932

RUN: run status: enemy: 5; fitness: 84.64704379932296; player life: 13.600000000000229; enemy life: 0; time: 823

RUN: run status: enemy: 5; fitness: 86.48224835026363; player life: 29.20000000000026; enemy life: 0; time: 625

RUN: run status: enemy: 5; fitness: 47.36012416617346; player life: 0; enemy life: 40.0; time: 765

RUN: run status: enemy: 5; fitness: 87.89808280327284; player life: 43.00000000000029; enemy life: 0; time: 603

